zh,en
石景山,Shijingshan
顺义,Shunyi
上海,Shanghai
待确认,tobeconfirmed
河南,Henan
南阳,Nanyang
郑州,Zhengzhou
信阳,Xinyang
周口,Zhoukou
驻马店,Zhumadian
洛阳,Luoyang
三门峡,Sanmenxia
新乡,Xinxiang
平顶山,Pingdingshan
四川,Sichuan
成都,Chengdu
广安,Guangan
绵阳,Mianyang
遂宁,Suining
达州,Dazhou
德阳,Deyang
雅安,Ya'an
自贡,Zigong
泸州,Luzhou
内江,Neijiang
山东,Shandong
青岛,Qingdao
威海,Weihai
临沂,Linyi
日照,Rizhao
济南,Jinan
烟台,Yantai
济宁,Jining
潍坊,Weifang
德州,Dezhou
聊城,Liaocheng
滨州,Binzhou
菏泽,Heze
广西,Guangxi
北海,Beihai
桂林,Guilin
柳州,Liuzhou
河池,Hechi
防城港,Fangchenggang
梧州,Wuzhou
百色,Baise
玉林,Yulin
江西,Jiangxi
抚州,Fuzhou
南昌,Nanchang
九江,Jiujiang
赣州,Ganzhou
上饶,Shangrao
萍乡,Pingxiang
新余,Xinyu
吉安,Gyan
景德镇,Jingdezhen
宜春,Yichun
福建,Fujian
福州,Fuzhou
厦门,Xiamen
泉州,Quanzhou
漳州,Zhangzhou
宁德,Ningde
三明,Sanming
江苏,Jiangsu
常州,Changzhou
南京,Nanjing
苏州,Suzhou
连云港,Lianyungang
扬州,Yangzhou
南通,Nantong
无锡,Wuxi
盐城,Yancheng
宿迁,Suqian
海南,Hainan
三亚,Sanya
万宁,Mannings
海口,Haikou
儋州,Danzhou
临高县,Lingao County
陵水县,LingshuiCounty
辽宁,Liaoning
沈阳,Shenyang
大连,Dalian
铁岭,Tieling
葫芦岛,Huludao
本溪,Benxi
陕西,Shaanxi
西安,Xian
安康,Ankang
铜川,Tongchuan
咸阳,Xianyang
延安,Yanan
商洛,Shangluo
云南,Yunnan
昆明,Kunming
丽江市,Lijiang
西双版纳州,Xishuangbanna
曲靖,Qujing
玉溪,Yuxi
红河,Honghe
大理,Dali
天津,Tianjin
黑龙江,Heilongjiang
哈尔滨,Harbin
牡丹江,Mudanjiang
大庆,Daqing
绥化,Suihua
河北,Hebei
石家庄,Shijiazhuang
沧州,Cangzhou
保定,Baoding
承德,Chengde
山西,Shanxi
太原,Taiyuan
运城,YunchengYunchengGuangong
大同,Datong
长治,Changzhi
香港,HongKong
,
贵州,Guizhou
铜仁,Tongren
贵阳,Guiyang
黔南州,Qiannan
吉林,Jilin
长春,Changchun
松原,Songyuan
甘肃,gansu
兰州,Lanzhou
白银,Baiyin
临夏,Linxia
宁夏,Ningxia
银川,Yinchuan
中卫,defender
固原,Guyuan
台湾,Taiwan
新疆,Xinjiang
乌鲁木齐,Urumqi
澳门,Macau
内蒙古,Inner Mongolia
锡林郭勒,Xilinguole
青海,Qinghai
西宁,Xining
呼伦贝尔,Hulunbuir
赤峰,Chifeng
鄂尔多斯,Ordos
日本,Japan
韩国,Korean
美国,UnitedStates
新加坡,Singapore
越南,VietNam
泰国,Thailand
澳大利亚,Australia
黄石,HuangShi
黔西南州,Qianxinan
营口,Yingkou
马来西亚,Malaysia
南宁,Nanning
东城,Dongcheng
尼泊尔,Nepal
晋中,Jinzhong
阳泉,Yangquan
襄阳,Xiangyang
安阳,Anyang
漯河,Luohe
淄博,Zibo
湘西自治州,Xiangxi
宿州,Suzhou
宣城,Xuancheng
淮北,Huaibei
淮南,Huainan
黄山,Huangshan
湖州,Huzhou
丽水,Lishui
邯郸,Handan
淮安,Huaian
泰州,Taizhou
齐齐哈尔,Qiqihar
江北区,Jiangbeidistrict
大足区,Dazu District
铜梁区,Tongliang District
揭阳,Jieyang
伊犁州,Yilistate
定西,Dingxi
丹东,Dandong
盘锦,Panjin
南充,Nanchong
甘孜,Ganzi
乐山,Leshan
眉山,Meishan
澄迈县,ChengmaiCounty
加拿大,Canada
法国,France
汉中,Hanzhong
镇江,Zhenjiang
梅州,Meizhou
莆田,Putian
南平,Nanping
保山市,Baoshancity
昭通市,Zhaotong
德宏州,Dehong
佳木斯,Jiamusi
朔州,shuozhou
临汾,Linfen
吕梁,Lvliang
潜江,Qianjiang
开封,Kaifeng
鹤壁,Hebi
商丘,Shangqiu
许昌,Xuchang
徐州,Xuzhou
六盘水,Liupanshui
汕尾,Shanwei
巴南区,Banan
江津区,Jiangjin
綦江区,Qijiang
潼南区,Junan District
四平,Siping
双鸭山,Shuangyashan
七台河,Qitaihe
包头,Baotou
兴安盟乌兰浩特,Xing'an League Ulanhot
通辽,Tongliao
张掖,Zhangye
陇南,Longnan
廊坊,Langfang
邢台,Xingtai
资阳,Ziyang
宜宾,Yibin
凉山,Liangshan
渭南,Weinan
枣庄,Zaozhuang
鹰潭,Yingtan
德国,Germany
焦作,Jiaozuo
泰安,Taian
神农架,Shennongjia
吐鲁番,Turpan
第七师,SeventhDivision
第八师石河子,EighthDivisionShihezi
黔江区,Qianjiang District
南岸区,Nan'an District
吴忠,Wuzhong
衡水,Hengshui
唐山,Tangshan
金昌,Jinchang
天水,Tianshui
斯里兰卡,SriLanka
公主岭,Gongzhuling
琼海,Qionghai
琼中县,Qiongzhong County
东方,Oriental
外地来沪,Foreign to Shanghai
浦东,Pudong
长宁,Changning
静安,Jingan
徐汇,Xuhui
虹口,HONGKOU
闵行,Minhang
青浦,Qingpu
黄埔,Huangpu
宝山,Baoshan
嘉定,Jiading
奉贤,Fengxian
辽阳,Liaoyang
龙岩,Longyan
呼和浩特,Hohhot
宝鸡,Baoji
河源,Heyuan
锦州,Jinzhou
朝阳市,Chaoyangcity
西双版纳,Xishuangbanna
黄浦,Huangpu
濮阳,Puyang
宿松,Susong
未明确地区,notcleararea
巴中,Bazhong
广元,Guangyuan
张家口,Zhangjiakou
鸡西,Jixi
通化,Tonghua
茂名,Maoming
渝中区,Yuzhongdistrict
平凉,Pingliang
巴彦淖尔,Bayannaoer
普洱,Puer
门头沟,Mentougou
阿联酋,UAE
松江,SONGJIANG
金山,Jinshan
江门,Jiangmen
大兴安岭,daxinganling
芬兰,Finland
西藏,Tibet
拉萨,Lhasa
钦州,Qinzhou
贺州,Hezhou
滑县,huaxian
长垣,Changyuan
遵义,Zunyi
毕节,Bijie
张家界,Zhangjiajie
鹤岗,Hegang
榆林,Yulin
韩城,RoK
怀柔,Huairou
杨浦,Yangpu
